,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:31:00-04:00,598.29,598.29,597.03,597.03,0,4,0.0
2022-08-22 09:32:00-04:00,597.99,598.69,597.99,598.65,0,4,0.0
2022-08-22 09:33:00-04:00,598.26,598.26,594.95,594.95,0,4,0.0
2022-08-22 09:34:00-04:00,594.86,594.86,593.71,593.71,0,4,0.0
2022-08-22 09:35:00-04:00,593.2,593.2,591.9,592.51,0,4,0.0
2022-08-22 09:36:00-04:00,592.28,592.99,592.28,592.99,0,4,0.0
2022-08-22 09:37:00-04:00,593.07,594.32,593.07,593.84,0,4,0.0
2022-08-22 09:38:00-04:00,593.73,593.94,593.35,593.35,0,4,0.0
2022-08-22 09:39:00-04:00,593.08,593.16,593.08,593.16,0,4,0.0
2022-08-22 09:40:00-04:00,593.66,593.66,592.3,592.3,0,4,0.0
2022-08-22 09:41:00-04:00,591.92,591.95,591.72,591.85,0,4,0.0
2022-08-22 09:42:00-04:00,592.78,593.55,592.78,593.3,0,4,0.0
2022-08-22 09:43:00-04:00,592.66,593.55,592.66,593.55,0,4,0.0
2022-08-22 09:44:00-04:00,593.54,593.64,593.4,593.4,0,4,0.0
2022-08-22 09:45:00-04:00,593.34,593.54,593.34,593.41,0,4,0.0
2022-08-22 09:46:00-04:00,593.64,593.64,593.03,593.6,0,4,0.0
2022-08-22 09:47:00-04:00,593.43,593.43,592.79,592.85,0,4,0.0
2022-08-22 09:48:00-04:00,592.89,592.89,592.32,592.32,0,4,0.0
2022-08-22 09:49:00-04:00,592.28,592.46,592.2,592.2,0,4,0.0
2022-08-22 09:50:00-04:00,591.78,591.78,591.32,591.32,0,4,0.0
2022-08-22 09:51:00-04:00,591.09,591.09,590.52,590.74,0,4,0.0
2022-08-22 09:52:00-04:00,590.55,590.55,589.72,590.01,0,4,0.0
2022-08-22 09:53:00-04:00,589.75,589.88,589.57,589.88,0,4,0.0
2022-08-22 09:54:00-04:00,590.16,590.87,590.16,590.87,0,4,0.0
2022-08-22 09:55:00-04:00,590.82,591.4,590.54,591.4,0,4,0.0
2022-08-22 09:56:00-04:00,591.42,592.29,591.42,592.29,0,4,0.0
2022-08-22 09:57:00-04:00,591.92,591.92,591.51,591.71,0,4,0.0
2022-08-22 09:58:00-04:00,591.67,591.67,590.97,590.97,0,4,0.0
2022-08-22 09:59:00-04:00,590.67,590.82,590.58,590.58,0,4,0.0
2022-08-22 10:00:00-04:00,588.79,589.02,588.64,589.02,0,4,0.0
2022-08-22 10:01:00-04:00,588.81,589.62,588.81,589.62,0,4,0.0
2022-08-22 10:02:00-04:00,589.5,589.62,589.41,589.62,0,4,0.0
2022-08-22 10:03:00-04:00,589.54,589.99,589.52,589.99,0,4,0.0
2022-08-22 10:04:00-04:00,590.19,590.39,590.09,590.39,0,4,0.0
2022-08-22 10:05:00-04:00,590.57,590.57,590.05,590.4,0,4,0.0
2022-08-22 10:06:00-04:00,590.8,590.93,590.64,590.64,0,4,0.0
2022-08-22 10:07:00-04:00,590.59,590.59,589.93,589.93,0,4,0.0
2022-08-22 10:08:00-04:00,589.73,589.85,589.43,589.43,0,4,0.0
2022-08-22 10:09:00-04:00,589.3,590.42,589.27,590.42,0,4,0.0
