,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:31:00-04:00,572.08,572.08,570.73,570.73,0,4,0.0
2022-08-22 09:32:00-04:00,570.43,570.67,570.14,570.14,0,4,0.0
2022-08-22 09:33:00-04:00,570.35,570.35,570.13,570.13,0,4,0.0
2022-08-22 09:34:00-04:00,570.26,570.26,569.77,569.78,0,4,0.0
2022-08-22 09:35:00-04:00,570.31,570.31,569.89,569.89,0,4,0.0
2022-08-22 09:36:00-04:00,569.88,570.18,569.85,570.18,0,4,0.0
2022-08-22 09:37:00-04:00,570.16,570.38,570.16,570.38,0,4,0.0
2022-08-22 09:38:00-04:00,570.42,570.48,570.42,570.44,0,4,0.0
2022-08-22 09:39:00-04:00,570.48,570.6,570.39,570.39,0,4,0.0
2022-08-22 09:40:00-04:00,570.44,570.46,569.95,569.95,0,4,0.0
2022-08-22 09:41:00-04:00,569.87,569.89,569.72,569.75,0,4,0.0
2022-08-22 09:42:00-04:00,569.74,570.1,569.74,570.1,0,4,0.0
2022-08-22 09:43:00-04:00,570.21,570.54,570.21,570.54,0,4,0.0
2022-08-22 09:44:00-04:00,570.64,570.64,570.47,570.47,0,4,0.0
2022-08-22 09:45:00-04:00,570.5,570.74,570.5,570.61,0,4,0.0
2022-08-22 09:46:00-04:00,570.61,570.79,570.61,570.77,0,4,0.0
2022-08-22 09:47:00-04:00,570.87,571.06,570.87,570.88,0,4,0.0
2022-08-22 09:48:00-04:00,570.84,570.84,570.51,570.59,0,4,0.0
2022-08-22 09:49:00-04:00,570.43,570.56,570.33,570.33,0,4,0.0
2022-08-22 09:50:00-04:00,570.12,570.12,570.04,570.06,0,4,0.0
2022-08-22 09:51:00-04:00,570.17,570.27,570.04,570.04,0,4,0.0
2022-08-22 09:52:00-04:00,569.97,569.97,569.91,569.94,0,4,0.0
2022-08-22 09:53:00-04:00,569.83,569.83,569.69,569.69,0,4,0.0
2022-08-22 09:54:00-04:00,569.68,569.88,569.68,569.88,0,4,0.0
2022-08-22 09:55:00-04:00,569.9,569.92,569.82,569.92,0,4,0.0
2022-08-22 09:56:00-04:00,569.94,570.19,569.94,570.19,0,4,0.0
2022-08-22 09:57:00-04:00,570.23,570.38,570.23,570.38,0,4,0.0
2022-08-22 09:58:00-04:00,570.42,570.55,570.42,570.55,0,4,0.0
2022-08-22 09:59:00-04:00,570.6,570.85,570.6,570.82,0,4,0.0
2022-08-22 10:00:00-04:00,570.53,570.53,570.42,570.51,0,4,0.0
2022-08-22 10:01:00-04:00,570.5,570.5,570.38,570.38,0,4,0.0
2022-08-22 10:02:00-04:00,570.28,570.3,570.16,570.16,0,4,0.0
2022-08-22 10:03:00-04:00,570.13,570.25,570.13,570.25,0,4,0.0
2022-08-22 10:04:00-04:00,570.39,570.4,570.37,570.39,0,4,0.0
2022-08-22 10:05:00-04:00,570.35,570.35,570.17,570.17,0,4,0.0
2022-08-22 10:06:00-04:00,570.28,570.3,570.17,570.17,0,4,0.0
2022-08-22 10:07:00-04:00,570.14,570.14,570.01,570.01,0,4,0.0
2022-08-22 10:08:00-04:00,569.88,569.91,569.86,569.86,0,4,0.0
2022-08-22 10:09:00-04:00,569.63,569.78,569.54,569.78,0,4,0.0
2022-08-22 10:10:00-04:00,569.85,569.92,569.75,569.75,0,4,0.0
