,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:30:00-04:00,1547.34,1547.34,1537.7,1538.3,0,5,0.0
2022-08-22 09:31:00-04:00,1539.4,1539.82,1539.02,1539.82,0,4,0.0
2022-08-22 09:32:00-04:00,1540.16,1540.36,1539.49,1539.49,0,4,0.0
2022-08-22 09:33:00-04:00,1539.67,1539.77,1539.66,1539.66,0,4,0.0
2022-08-22 09:34:00-04:00,1540.59,1541.11,1540.17,1540.17,0,4,0.0
2022-08-22 09:35:00-04:00,1539.82,1539.99,1538.98,1539.99,0,4,0.0
2022-08-22 09:36:00-04:00,1539.94,1540.11,1539.94,1539.95,0,4,0.0
2022-08-22 09:37:00-04:00,1539.3,1539.54,1539.3,1539.54,0,4,0.0
2022-08-22 09:38:00-04:00,1539.68,1539.99,1539.68,1539.84,0,4,0.0
2022-08-22 09:39:00-04:00,1540.54,1540.67,1540.45,1540.45,0,4,0.0
2022-08-22 09:40:00-04:00,1540.26,1540.26,1539.94,1540.2,0,4,0.0
2022-08-22 09:41:00-04:00,1540.92,1540.92,1540.46,1540.47,0,4,0.0
2022-08-22 09:42:00-04:00,1540.14,1540.14,1539.48,1539.73,0,4,0.0
2022-08-22 09:43:00-04:00,1540.1,1540.18,1539.93,1540.18,0,4,0.0
2022-08-22 09:44:00-04:00,1540.38,1540.92,1540.38,1540.92,0,4,0.0
2022-08-22 09:45:00-04:00,1541.09,1541.09,1540.17,1540.17,0,4,0.0
2022-08-22 09:46:00-04:00,1540.1,1540.14,1539.7,1539.7,0,4,0.0
2022-08-22 09:47:00-04:00,1539.73,1539.73,1539.27,1539.27,0,4,0.0
2022-08-22 09:48:00-04:00,1539.43,1539.58,1539.43,1539.43,0,4,0.0
2022-08-22 09:49:00-04:00,1539.4,1539.4,1539.09,1539.09,0,4,0.0
2022-08-22 09:50:00-04:00,1538.88,1538.97,1538.67,1538.67,0,4,0.0
2022-08-22 09:51:00-04:00,1538.31,1538.61,1538.26,1538.52,0,4,0.0
2022-08-22 09:52:00-04:00,1538.49,1539.37,1538.49,1539.37,0,4,0.0
2022-08-22 09:53:00-04:00,1539.84,1539.9,1539.44,1539.53,0,4,0.0
2022-08-22 09:54:00-04:00,1539.49,1539.57,1539.42,1539.42,0,4,0.0
2022-08-22 09:55:00-04:00,1539.29,1539.29,1538.69,1538.69,0,4,0.0
2022-08-22 09:56:00-04:00,1538.61,1538.94,1538.61,1538.75,0,4,0.0
2022-08-22 09:57:00-04:00,1538.93,1538.93,1538.57,1538.57,0,4,0.0
2022-08-22 09:58:00-04:00,1538.77,1538.99,1538.59,1538.59,0,4,0.0
2022-08-22 09:59:00-04:00,1539.05,1539.35,1539.05,1539.19,0,4,0.0
2022-08-22 10:00:00-04:00,1539.0,1539.0,1538.18,1538.18,0,4,0.0
2022-08-22 10:01:00-04:00,1537.94,1537.94,1537.47,1537.47,0,4,0.0
