,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:31:00-04:00,2554.54,2555.18,2554.12,2555.18,0,4,0.0
2022-08-22 09:32:00-04:00,2553.39,2553.39,2551.24,2551.24,0,4,0.0
2022-08-22 09:33:00-04:00,2550.1,2550.67,2549.97,2550.06,0,4,0.0
2022-08-22 09:34:00-04:00,2548.73,2548.73,2545.33,2545.33,0,4,0.0
2022-08-22 09:35:00-04:00,2544.09,2544.47,2543.12,2544.47,0,4,0.0
2022-08-22 09:36:00-04:00,2544.66,2544.66,2543.76,2543.76,0,4,0.0
2022-08-22 09:37:00-04:00,2544.35,2544.35,2543.67,2544.26,0,4,0.0
2022-08-22 09:38:00-04:00,2544.68,2544.68,2544.13,2544.18,0,4,0.0
2022-08-22 09:39:00-04:00,2543.88,2543.91,2543.43,2543.43,0,4,0.0
2022-08-22 09:40:00-04:00,2542.01,2542.69,2542.01,2542.69,0,4,0.0
2022-08-22 09:41:00-04:00,2542.37,2542.91,2542.14,2542.14,0,4,0.0
2022-08-22 09:42:00-04:00,2542.55,2544.95,2542.55,2544.95,0,4,0.0
2022-08-22 09:43:00-04:00,2544.95,2548.22,2544.95,2548.22,0,4,0.0
2022-08-22 09:44:00-04:00,2548.88,2548.88,2547.67,2547.77,0,4,0.0
2022-08-22 09:45:00-04:00,2547.24,2547.27,2546.15,2547.27,0,4,0.0
2022-08-22 09:46:00-04:00,2547.14,2547.14,2545.73,2545.73,0,4,0.0
2022-08-22 09:47:00-04:00,2545.54,2545.78,2544.13,2544.13,0,4,0.0
2022-08-22 09:48:00-04:00,2543.51,2544.01,2542.85,2542.85,0,4,0.0
2022-08-22 09:49:00-04:00,2542.01,2542.44,2539.94,2539.94,0,4,0.0
2022-08-22 09:50:00-04:00,2539.18,2540.87,2539.18,2540.87,0,4,0.0
2022-08-22 09:51:00-04:00,2540.14,2540.26,2539.25,2539.25,0,4,0.0
2022-08-22 09:52:00-04:00,2539.6,2540.06,2539.41,2540.06,0,4,0.0
2022-08-22 09:53:00-04:00,2541.11,2542.51,2541.11,2542.51,0,4,0.0
2022-08-22 09:54:00-04:00,2543.04,2544.84,2543.04,2544.81,0,4,0.0
2022-08-22 09:55:00-04:00,2545.93,2546.48,2545.93,2546.48,0,4,0.0
2022-08-22 09:56:00-04:00,2545.9,2546.37,2545.82,2546.37,0,4,0.0
2022-08-22 09:57:00-04:00,2545.55,2546.2,2545.55,2545.9,0,4,0.0
2022-08-22 09:58:00-04:00,2546.04,2546.07,2545.5,2546.07,0,4,0.0
2022-08-22 09:59:00-04:00,2545.9,2545.9,2543.9,2543.9,0,4,0.0
2022-08-22 10:00:00-04:00,2542.3,2542.3,2541.61,2542.09,0,4,0.0
2022-08-22 10:01:00-04:00,2542.32,2542.32,2541.52,2541.52,0,4,0.0
2022-08-22 10:02:00-04:00,2541.05,2541.49,2540.43,2541.49,0,4,0.0
2022-08-22 10:03:00-04:00,2542.71,2542.74,2542.38,2542.74,0,4,0.0
2022-08-22 10:04:00-04:00,2543.59,2544.22,2543.59,2544.22,0,4,0.0
2022-08-22 10:05:00-04:00,2544.89,2545.42,2544.48,2545.42,0,4,0.0
2022-08-22 10:06:00-04:00,2545.43,2545.43,2544.59,2545.32,0,4,0.0
2022-08-22 10:07:00-04:00,2544.76,2544.76,2543.27,2543.27,0,4,0.0
2022-08-22 10:08:00-04:00,2542.21,2542.21,2541.15,2541.15,0,4,0.0
