,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:30:00-04:00,497.42,497.42,492.66,492.74,0,5,0.0
2022-08-22 09:31:00-04:00,492.55,492.75,492.4,492.75,0,4,0.0
2022-08-22 09:32:00-04:00,490.72,490.72,490.02,490.02,0,4,0.0
2022-08-22 09:33:00-04:00,490.16,490.16,489.12,489.12,0,4,0.0
2022-08-22 09:34:00-04:00,489.18,489.18,488.78,488.78,0,4,0.0
2022-08-22 09:35:00-04:00,488.85,488.85,488.25,488.25,0,4,0.0
2022-08-22 09:36:00-04:00,488.06,488.06,487.99,488.01,0,4,0.0
2022-08-22 09:37:00-04:00,488.19,488.65,488.19,488.65,0,4,0.0
2022-08-22 09:38:00-04:00,488.72,488.87,488.72,488.85,0,4,0.0
2022-08-22 09:39:00-04:00,488.8,489.09,488.8,489.09,0,4,0.0
2022-08-22 09:40:00-04:00,489.31,489.33,489.26,489.26,0,4,0.0
2022-08-22 09:41:00-04:00,489.31,489.31,489.13,489.13,0,4,0.0
2022-08-22 09:42:00-04:00,489.3,489.52,489.3,489.52,0,4,0.0
2022-08-22 09:43:00-04:00,489.43,489.85,489.43,489.85,0,4,0.0
2022-08-22 09:44:00-04:00,489.93,489.93,489.82,489.9,0,4,0.0
2022-08-22 09:45:00-04:00,489.8,489.95,489.8,489.95,0,4,0.0
2022-08-22 09:46:00-04:00,489.96,489.96,489.61,489.61,0,4,0.0
2022-08-22 09:47:00-04:00,489.5,489.51,489.42,489.42,0,4,0.0
2022-08-22 09:48:00-04:00,489.33,489.35,489.27,489.27,0,4,0.0
2022-08-22 09:49:00-04:00,489.27,489.34,489.27,489.34,0,4,0.0
2022-08-22 09:50:00-04:00,489.26,489.26,489.02,489.16,0,4,0.0
2022-08-22 09:51:00-04:00,489.14,489.38,489.14,489.37,0,4,0.0
2022-08-22 09:52:00-04:00,489.39,489.41,489.23,489.41,0,4,0.0
2022-08-22 09:53:00-04:00,489.34,489.36,489.27,489.36,0,4,0.0
2022-08-22 09:54:00-04:00,489.36,489.53,489.36,489.53,0,4,0.0
2022-08-22 09:55:00-04:00,489.52,489.52,489.4,489.4,0,4,0.0
2022-08-22 09:56:00-04:00,489.31,489.31,489.24,489.31,0,4,0.0
2022-08-22 09:57:00-04:00,489.3,489.47,489.3,489.47,0,4,0.0
2022-08-22 09:58:00-04:00,489.5,489.62,489.5,489.62,0,4,0.0
2022-08-22 09:59:00-04:00,489.61,489.74,489.61,489.65,0,4,0.0
2022-08-22 10:00:00-04:00,489.21,489.21,488.97,489.04,0,4,0.0
2022-08-22 10:01:00-04:00,489.06,489.2,489.06,489.2,0,4,0.0
2022-08-22 10:02:00-04:00,489.16,489.28,489.16,489.28,0,4,0.0
2022-08-22 10:03:00-04:00,489.27,489.44,489.27,489.44,0,4,0.0
2022-08-22 10:04:00-04:00,489.62,489.69,489.6,489.69,0,4,0.0
2022-08-22 10:05:00-04:00,489.73,489.83,489.68,489.83,0,4,0.0
2022-08-22 10:06:00-04:00,489.96,490.05,489.96,490.05,0,4,0.0
2022-08-22 10:07:00-04:00,490.07,490.13,490.04,490.08,0,4,0.0
2022-08-22 10:08:00-04:00,490.0,490.02,489.97,490.02,0,4,0.0
2022-08-22 10:09:00-04:00,489.94,490.07,489.94,490.07,0,4,0.0
2022-08-22 10:10:00-04:00,490.1,490.12,490.04,490.04,0,4,0.0
2022-08-22 10:11:00-04:00,490.07,490.18,490.07,490.18,0,4,0.0
2022-08-22 10:12:00-04:00,490.24,490.42,490.24,490.42,0,4,0.0
2022-08-22 10:13:00-04:00,490.61,490.67,490.58,490.58,0,4,0.0
2022-08-22 10:14:00-04:00,490.51,490.61,490.51,490.61,0,4,0.0
2022-08-22 10:15:00-04:00,490.57,490.69,490.57,490.65,0,4,0.0
2022-08-22 10:16:00-04:00,490.65,490.87,490.65,490.87,0,4,0.0
2022-08-22 10:17:00-04:00,490.83,490.87,490.75,490.87,0,4,0.0
2022-08-22 10:18:00-04:00,490.7,490.74,490.68,490.73,0,4,0.0
