,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:31:00-04:00,4176.43,4176.96,4174.39,4176.54,0,60,0.0
2022-08-22 09:32:00-04:00,4176.48,4176.88,4173.58,4174.54,0,60,0.0
2022-08-22 09:33:00-04:00,4174.16,4174.72,4171.93,4171.98,0,60,0.0
2022-08-22 09:34:00-04:00,4172.27,4172.5,4167.76,4167.79,0,60,0.0
2022-08-22 09:35:00-04:00,4167.8,4168.08,4165.17,4167.22,0,60,0.0
2022-08-22 09:36:00-04:00,4166.85,4167.41,4165.46,4166.45,0,60,0.0
2022-08-22 09:37:00-04:00,4166.16,4168.86,4165.69,4168.41,0,60,0.0
2022-08-22 09:38:00-04:00,4168.35,4169.59,4168.17,4168.8,0,60,0.0
2022-08-22 09:39:00-04:00,4168.48,4169.24,4168.32,4168.42,0,60,0.0
2022-08-22 09:40:00-04:00,4168.65,4168.65,4167.54,4167.93,0,60,0.0
2022-08-22 09:41:00-04:00,4167.76,4168.27,4167.03,4167.47,0,60,0.0
2022-08-22 09:42:00-04:00,4167.6,4171.25,4167.6,4170.75,0,60,0.0
2022-08-22 09:43:00-04:00,4170.83,4174.27,4170.43,4174.27,0,60,0.0
2022-08-22 09:44:00-04:00,4174.24,4175.14,4172.79,4173.49,0,60,0.0
2022-08-22 09:45:00-04:00,4173.16,4173.27,4170.91,4172.67,0,60,0.0
2022-08-22 09:46:00-04:00,4172.72,4172.94,4170.96,4171.26,0,60,0.0
2022-08-22 09:47:00-04:00,4171.43,4172.31,4169.11,4169.11,0,60,0.0
2022-08-22 09:48:00-04:00,4169.21,4169.21,4167.39,4167.5,0,60,0.0
2022-08-22 09:49:00-04:00,4167.41,4167.92,4164.63,4164.87,0,60,0.0
2022-08-22 09:50:00-04:00,4164.12,4164.71,4162.69,4164.71,0,60,0.0
2022-08-22 09:51:00-04:00,4164.66,4164.69,4162.74,4162.74,0,60,0.0
2022-08-22 09:52:00-04:00,4162.72,4164.11,4162.51,4164.08,0,60,0.0
2022-08-22 09:53:00-04:00,4164.15,4165.46,4164.15,4165.46,0,60,0.0
2022-08-22 09:54:00-04:00,4165.36,4167.93,4165.36,4167.36,0,60,0.0
2022-08-22 09:55:00-04:00,4167.39,4168.66,4167.39,4168.38,0,60,0.0
2022-08-22 09:56:00-04:00,4168.32,4169.21,4167.69,4169.21,0,60,0.0
2022-08-22 09:57:00-04:00,4169.2,4169.29,4167.85,4168.55,0,60,0.0
2022-08-22 09:58:00-04:00,4168.66,4169.4,4168.0,4169.26,0,60,0.0
2022-08-22 09:59:00-04:00,4169.19,4169.85,4168.36,4168.36,0,60,0.0
2022-08-22 10:00:00-04:00,4167.74,4167.74,4163.71,4164.89,0,60,0.0
2022-08-22 10:01:00-04:00,4164.55,4165.19,4164.12,4164.19,0,60,0.0
2022-08-22 10:02:00-04:00,4163.96,4164.3,4163.39,4164.19,0,60,0.0
2022-08-22 10:03:00-04:00,4164.13,4165.74,4164.13,4165.74,0,60,0.0
2022-08-22 10:04:00-04:00,4165.72,4167.68,4165.72,4166.82,0,60,0.0
2022-08-22 10:05:00-04:00,4166.99,4167.47,4166.05,4166.68,0,60,0.0
2022-08-22 10:06:00-04:00,4166.55,4167.24,4165.67,4166.4,0,60,0.0
2022-08-22 10:07:00-04:00,4166.3,4166.3,4164.68,4164.72,0,60,0.0
2022-08-22 10:08:00-04:00,4164.66,4164.66,4163.03,4163.03,0,60,0.0
2022-08-22 10:09:00-04:00,4162.99,4164.43,4161.23,4164.43,0,60,0.0
2022-08-22 10:10:00-04:00,4164.41,4165.5,4161.69,4161.7,0,60,0.0
2022-08-22 10:11:00-04:00,4161.87,4163.0,4161.87,4162.57,0,60,0.0
2022-08-22 10:12:00-04:00,4162.48,4162.57,4160.89,4162.49,0,60,0.0
2022-08-22 10:13:00-04:00,4162.49,4162.89,4160.97,4160.97,0,60,0.0
2022-08-22 10:14:00-04:00,4160.94,4162.05,4160.94,4161.64,0,60,0.0
2022-08-22 10:15:00-04:00,4161.59,4162.24,4159.61,4160.35,0,60,0.0
2022-08-22 10:16:00-04:00,4160.11,4162.32,4160.04,4161.91,0,60,0.0
2022-08-22 10:17:00-04:00,4162.03,4162.65,4161.49,4161.79,0,60,0.0
2022-08-22 10:18:00-04:00,4161.82,4161.92,4159.3,4159.64,0,60,0.0
2022-08-22 10:19:00-04:00,4159.64,4159.8,4158.5,4159.58,0,60,0.0
2022-08-22 10:20:00-04:00,4159.8,4159.8,4157.95,4158.27,0,60,0.0
2022-08-22 10:21:00-04:00,4158.12,4158.15,4157.14,4157.84,0,60,0.0
2022-08-22 10:22:00-04:00,4157.8,4158.62,4157.27,4157.27,0,60,0.0
2022-08-22 10:23:00-04:00,4157.19,4157.46,4155.26,4155.26,0,60,0.0
2022-08-22 10:24:00-04:00,4155.15,4155.54,4153.43,4153.52,0,60,0.0
2022-08-22 10:25:00-04:00,4153.38,4155.53,4153.01,4154.42,0,60,0.0
2022-08-22 10:26:00-04:00,4154.55,4155.92,4154.55,4155.54,0,60,0.0
2022-08-22 10:27:00-04:00,4155.71,4158.26,4155.55,4158.12,0,60,0.0
2022-08-22 10:28:00-04:00,4158.18,4158.26,4155.98,4156.35,0,60,0.0
2022-08-22 10:29:00-04:00,4156.26,4156.31,4154.96,4154.96,0,60,0.0
2022-08-22 10:30:00-04:00,4154.85,4156.16,4154.27,4156.16,0,60,0.0
2022-08-22 10:31:00-04:00,4156.37,4158.03,4156.37,4157.46,0,60,0.0
2022-08-22 10:32:00-04:00,4157.06,4157.16,4155.6,4155.63,0,60,0.0
2022-08-22 10:33:00-04:00,4155.41,4156.12,4154.39,4154.39,0,60,0.0
2022-08-22 10:34:00-04:00,4154.27,4154.27,4151.38,4152.62,0,60,0.0
2022-08-22 10:35:00-04:00,4152.63,4154.17,4152.63,4153.08,0,60,0.0
2022-08-22 10:36:00-04:00,4153.14,4156.11,4153.14,4154.48,0,60,0.0
2022-08-22 10:37:00-04:00,4154.47,4155.97,4154.43,4154.61,0,60,0.0
2022-08-22 10:38:00-04:00,4154.6,4156.63,4154.38,4155.81,0,60,0.0
2022-08-22 10:39:00-04:00,4155.84,4156.65,4155.66,4156.15,0,60,0.0
2022-08-22 10:40:00-04:00,4156.15,4157.94,4155.66,4157.92,0,60,0.0
2022-08-22 10:41:00-04:00,4157.96,4159.62,4157.96,4159.29,0,60,0.0
2022-08-22 10:42:00-04:00,4159.26,4160.33,4159.26,4159.52,0,60,0.0
2022-08-22 10:43:00-04:00,4159.37,4159.89,4157.86,4158.23,0,60,0.0
2022-08-22 10:44:00-04:00,4158.14,4158.3,4156.8,4156.8,0,60,0.0
2022-08-22 10:45:00-04:00,4156.82,4158.64,4156.67,4158.64,0,60,0.0
2022-08-22 10:46:00-04:00,4158.75,4159.33,4158.01,4158.24,0,60,0.0
2022-08-22 10:47:00-04:00,4158.41,4160.15,4158.41,4159.61,0,60,0.0
2022-08-22 10:48:00-04:00,4159.8,4160.36,4159.23,4159.95,0,60,0.0
2022-08-22 10:49:00-04:00,4159.92,4159.93,4158.75,4159.01,0,60,0.0
2022-08-22 10:50:00-04:00,4159.05,4159.05,4156.87,4156.99,0,60,0.0
2022-08-22 10:51:00-04:00,4156.83,4156.83,4155.24,4155.73,0,60,0.0
2022-08-22 10:52:00-04:00,4155.75,4156.04,4154.21,4154.9,0,60,0.0
2022-08-22 10:53:00-04:00,4154.89,4155.06,4153.66,4153.66,0,60,0.0
2022-08-22 10:54:00-04:00,4153.4,4154.11,4152.85,4153.9,0,60,0.0
2022-08-22 10:55:00-04:00,4153.84,4154.97,4152.8,4153.04,0,60,0.0
2022-08-22 10:56:00-04:00,4153.03,4153.06,4150.65,4151.1,0,60,0.0
2022-08-22 10:57:00-04:00,4151.04,4151.52,4150.45,4151.0,0,60,0.0
2022-08-22 10:58:00-04:00,4150.96,4151.2,4150.36,4150.36,0,60,0.0
2022-08-22 10:59:00-04:00,4150.19,4150.61,4149.39,4149.44,0,60,0.0
2022-08-22 11:00:00-04:00,4149.46,4150.19,4149.41,4150.02,0,60,0.0
2022-08-22 11:01:00-04:00,4150.04,4151.26,4150.04,4151.15,0,60,0.0
2022-08-22 11:02:00-04:00,4151.05,4153.33,4150.87,4153.15,0,60,0.0
2022-08-22 11:03:00-04:00,4153.37,4155.21,4153.01,4154.78,0,60,0.0
2022-08-22 11:04:00-04:00,4154.68,4154.69,4153.26,4154.08,0,60,0.0
2022-08-22 11:05:00-04:00,4154.13,4155.04,4153.64,4154.49,0,60,0.0
2022-08-22 11:06:00-04:00,4154.46,4155.61,4154.4,4155.33,0,60,0.0
2022-08-22 11:07:00-04:00,4155.1,4155.1,4153.73,4153.73,0,60,0.0
2022-08-22 11:08:00-04:00,4153.65,4154.13,4153.51,4153.51,0,60,0.0
2022-08-22 11:09:00-04:00,4153.58,4154.25,4153.58,4154.21,0,60,0.0
2022-08-22 11:10:00-04:00,4154.21,4155.04,4153.52,4153.52,0,60,0.0
2022-08-22 11:11:00-04:00,4153.44,4153.81,4152.83,4152.83,0,60,0.0
2022-08-22 11:12:00-04:00,4152.86,4153.05,4151.42,4152.87,0,60,0.0
2022-08-22 11:13:00-04:00,4153.24,4154.75,4153.24,4154.74,0,60,0.0
2022-08-22 11:14:00-04:00,4154.84,4155.97,4154.79,4155.77,0,60,0.0
2022-08-22 11:15:00-04:00,4155.54,4156.98,4155.4,4156.82,0,60,0.0
2022-08-22 11:16:00-04:00,4156.83,4158.24,4156.81,4158.18,0,60,0.0
2022-08-22 11:17:00-04:00,4158.12,4158.22,4156.79,4156.9,0,60,0.0
2022-08-22 11:18:00-04:00,4156.9,4157.28,4156.47,4157.13,0,60,0.0
2022-08-22 11:19:00-04:00,4157.06,4158.04,4157.06,4157.64,0,60,0.0
2022-08-22 11:20:00-04:00,4157.64,4158.87,4157.64,4158.58,0,60,0.0
