,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
,open,high,low,close,volume,num_trds,value
2022-08-22 09:30:00-04:00,196.85,196.85,193.93,193.93,0,5,0.0
2022-08-22 09:31:00-04:00,193.91,193.96,193.85,193.96,0,4,0.0
2022-08-22 09:32:00-04:00,193.69,193.79,193.58,193.58,0,4,0.0
2022-08-22 09:33:00-04:00,193.61,193.61,193.45,193.45,0,4,0.0
2022-08-22 09:34:00-04:00,193.24,193.24,192.96,193.08,0,4,0.0
2022-08-22 09:35:00-04:00,193.09,193.09,192.96,193.07,0,4,0.0
2022-08-22 09:36:00-04:00,193.09,193.09,192.81,192.81,0,4,0.0
2022-08-22 09:37:00-04:00,192.99,193.24,192.99,193.21,0,4,0.0
2022-08-22 09:38:00-04:00,193.35,193.39,193.3,193.37,0,4,0.0
2022-08-22 09:39:00-04:00,193.3,193.45,193.3,193.37,0,4,0.0
2022-08-22 09:40:00-04:00,193.41,193.56,193.41,193.48,0,4,0.0
2022-08-22 09:41:00-04:00,193.46,193.56,193.46,193.52,0,4,0.0
2022-08-22 09:42:00-04:00,193.49,193.78,193.49,193.78,0,4,0.0
2022-08-22 09:43:00-04:00,193.61,193.92,193.61,193.92,0,4,0.0
2022-08-22 09:44:00-04:00,193.86,193.86,193.74,193.74,0,4,0.0
2022-08-22 09:45:00-04:00,193.73,193.88,193.73,193.88,0,4,0.0
2022-08-22 09:46:00-04:00,193.82,193.82,193.77,193.8,0,4,0.0
2022-08-22 09:47:00-04:00,193.77,193.86,193.63,193.63,0,4,0.0
2022-08-22 09:48:00-04:00,193.53,193.53,193.45,193.45,0,4,0.0
2022-08-22 09:49:00-04:00,193.46,193.46,193.26,193.26,0,4,0.0
2022-08-22 09:50:00-04:00,193.08,193.22,193.08,193.19,0,4,0.0
2022-08-22 09:51:00-04:00,193.14,193.14,193.02,193.02,0,4,0.0
2022-08-22 09:52:00-04:00,193.02,193.18,193.02,193.14,0,4,0.0
2022-08-22 09:53:00-04:00,193.24,193.25,193.16,193.25,0,4,0.0
2022-08-22 09:54:00-04:00,193.32,193.43,193.32,193.34,0,4,0.0
2022-08-22 09:55:00-04:00,193.42,193.5,193.42,193.5,0,4,0.0
2022-08-22 09:56:00-04:00,193.47,193.58,193.47,193.58,0,4,0.0
